epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6648,3.32221,4.22008,4.2007,0.00182,0.55994,0.00491,0.0013,3.13434,3.98715,4.14422,0.00330846,0.00330846,0.00330846
2,159.324,3.17224,3.72063,3.92627,0.69,0.0554,0.01695,0.00385,2.87475,3.89024,3.6684,0.00661549,0.00661549,0.00661549
3,238.3,2.6184,3.12308,3.19781,0.67481,0.04219,0.00371,0.00091,2.84363,5.42393,3.63235,0.00989612,0.00989612,0.00989612
4,318.713,2.19846,2.71502,2.70551,0.75361,0.09736,0.05584,0.01954,2.32431,3.4866,3.13413,0.0098812,0.0098812,0.0098812
5,399.277,1.96455,2.35013,2.46286,0.82405,0.14001,0.12658,0.05026,2.02485,2.42012,2.7044,0.0098416,0.0098416,0.0098416
6,479.823,1.84162,2.13827,2.32445,0.86031,0.16365,0.18654,0.07579,1.95387,2.09122,2.58316,0.009802,0.009802,0.009802
7,560.396,1.759,2.03074,2.24716,0.8636,0.16868,0.25317,0.10227,1.88575,1.9847,2.46432,0.0097624,0.0097624,0.0097624
8,641.22,1.71115,1.91815,2.18747,0.58136,0.31584,0.27222,0.11895,1.7847,1.87746,2.40798,0.0097228,0.0097228,0.0097228
9,721.756,1.65778,1.83973,2.13007,0.62959,0.32324,0.29627,0.13286,1.81204,1.8621,2.34418,0.0096832,0.0096832,0.0096832
10,802.305,1.6198,1.77988,2.08435,0.88776,0.26042,0.36191,0.1756,1.69322,1.55542,2.25002,0.0096436,0.0096436,0.0096436
11,882.886,1.58027,1.70571,2.045,0.64186,0.32729,0.35527,0.168,1.67191,1.5399,2.20384,0.009604,0.009604,0.009604
12,963.673,1.56537,1.67334,2.00637,0.64241,0.32434,0.29788,0.14475,1.72948,1.53657,2.25074,0.0095644,0.0095644,0.0095644
13,1042.25,1.54904,1.63192,2.00272,0.76004,0.34869,0.45836,0.22357,1.59166,1.44852,2.11865,0.0095248,0.0095248,0.0095248
14,1118.49,1.53106,1.59031,1.97701,0.72685,0.40082,0.44806,0.21578,1.64897,1.43282,2.13603,0.0094852,0.0094852,0.0094852
15,1194.74,1.50224,1.56435,1.95275,0.53877,0.46854,0.52016,0.24506,1.60951,1.4142,2.0976,0.0094456,0.0094456,0.0094456
16,1270.84,1.49552,1.52888,1.93831,0.44481,0.47742,0.50131,0.27334,1.5957,1.35407,2.08037,0.009406,0.009406,0.009406
17,1347.04,1.45893,1.4715,1.90767,0.51209,0.64298,0.6093,0.35991,1.57475,1.35592,2.0664,0.0093664,0.0093664,0.0093664
18,1423.14,1.45686,1.4736,1.90252,0.78924,0.63202,0.7499,0.45041,1.51304,1.28423,2.00816,0.0093268,0.0093268,0.0093268
19,1499.05,1.44346,1.44217,1.87918,0.56233,0.72028,0.63766,0.35946,1.48805,1.20669,1.97868,0.0092872,0.0092872,0.0092872
20,1574.78,1.42517,1.41047,1.86646,0.57705,0.61783,0.6501,0.34392,1.48224,1.23813,1.98662,0.0092476,0.0092476,0.0092476
21,1650.55,1.42165,1.38966,1.86152,0.50368,0.57142,0.53079,0.2939,1.46404,1.20916,1.95941,0.009208,0.009208,0.009208
22,1726.47,1.41119,1.3891,1.84257,0.6785,0.58289,0.63532,0.35387,1.43531,1.17336,1.91319,0.0091684,0.0091684,0.0091684
23,1802.31,1.40002,1.36302,1.83246,0.64729,0.6503,0.64604,0.37019,1.4157,1.15516,1.9073,0.0091288,0.0091288,0.0091288
24,1878.04,1.38133,1.34091,1.81887,0.60772,0.70142,0.70411,0.40123,1.42974,1.17088,1.88552,0.0090892,0.0090892,0.0090892
25,1954.02,1.37767,1.32013,1.81192,0.74348,0.58184,0.70441,0.35455,1.45187,1.14707,1.90473,0.0090496,0.0090496,0.0090496
26,2030.03,1.36158,1.28964,1.78799,0.90735,0.72437,0.81457,0.4516,1.4586,1.09366,1.92907,0.00901,0.00901,0.00901
27,2106.01,1.36765,1.30511,1.79646,0.66152,0.68586,0.64736,0.35199,1.42242,1.0487,1.86606,0.0089704,0.0089704,0.0089704
28,2181.75,1.35168,1.26183,1.77733,0.74492,0.78185,0.80718,0.52096,1.37022,1.01848,1.83311,0.0089308,0.0089308,0.0089308
29,2257.56,1.36166,1.26565,1.78757,0.72337,0.74595,0.80126,0.4595,1.39596,1.0502,1.8503,0.0088912,0.0088912,0.0088912
