                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9523,                 7.0298,                 4.1783,                      0,                      0,                      0,                      0,                  5.149,                 5.8785,                 4.1669,             0.00035725,             0.00035725,             0.00035725
                      2,                  3.142,                 4.1881,                 3.1034,                      0,                      0,                      0,                      0,                 5.2083,                 5.1044,                 4.2219,             0.00072398,             0.00072398,             0.00072398
                      3,                 2.1829,                 2.8907,                 2.3228,                      0,                      0,                      0,                      0,                  5.006,                 4.6029,                 4.0756,              0.0010858,              0.0010858,              0.0010858
                      4,                 1.9214,                 2.3564,                 1.9962,                      0,                      0,                      0,                      0,                 4.8183,                 4.9003,                 3.9556,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.6534,                 1.9525,                 1.7315,                0.61531,                0.43966,                0.51628,                0.26856,                 1.8487,                 2.0736,                 2.2185,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.4406,                 1.5079,                 1.5692,                0.72761,                0.59483,                 0.6824,                0.39934,                 1.5232,                 1.4496,                 1.7852,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.2817,                 1.2937,                 1.3938,                0.77007,                0.71331,                0.81292,                0.57778,                 1.1785,                 1.2096,                 1.5402,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.1976,                 1.1741,                 1.3312,                0.81144,                0.72752,                0.82595,                0.58128,                 1.1896,                 1.2498,                 1.5313,               0.001363,               0.001363,               0.001363
                      9,                 1.1303,                 1.0794,                 1.2407,                0.88902,                0.79047,                0.87437,                0.62249,                 1.1226,                0.98676,                 1.4608,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.0559,                0.97898,                 1.1931,                0.89915,                0.76724,                0.89316,                 0.6687,                 1.0089,                 1.0316,                 1.3352,              0.0013441,              0.0013441,              0.0013441
                     11,                  1.115,                0.95243,                 1.2239,                 0.9228,                0.84483,                0.91973,                0.64652,                  1.151,                0.85944,                 1.4098,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.0574,                0.93042,                 1.1941,                0.92542,                0.81897,                0.89816,                0.67289,                0.98931,                0.85709,                 1.2939,              0.0013253,              0.0013253,              0.0013253
                     13,                0.99397,                0.83626,                 1.1439,                0.89159,                0.83719,                0.90437,                 0.7046,                0.97259,                0.86264,                 1.2635,              0.0013158,              0.0013158,              0.0013158
